C1,81.28,15.24,270.00,4.7uf,CT3528
C3,81.28,20.32,270.00,100nf,CAPC2012X110
C4,83.82,35.56,90.00,1uf,CAPC2012X110
D1,83.82,44.45,270.00,LED_GREEN,LEDC2012X105N_RND-R
D2,80.01,44.45,270.00,LED_RED,LEDC2012X105N_RND-R
GPS,52.07,10.79,90.00,GPS-RECEIVER-NEO6M,GPS-RECEIVER-NEO6M
J3,24.33,6.39,0.00,,691210910004
M1,60.33,26.67,0.00,,MEGA_ARDUINO
M2,78.74,25.40,270.00,ARDUINO-PRO-MINI-3.3V,ARDUINO-PRO-MINI
OLED,21.36,44.53,0.00,DISPLAY-OLED-128X64-I2C,DISPLAY-OLED-128X64-I2C
Q3,80.01,30.48,0.00,MOSFET-NCHANNEL2N7002PW,SOT323
R10,73.66,36.83,90.00,270k,RESC2012X65
R11,73.66,33.02,270.00,1k,RESC2012X65
R12,77.47,36.83,270.00,100k,RESC2012X65
R13,74.93,16.51,180.00,2k2,RESC2012X65
R14,74.93,19.05,180.00,3k9,RESC2012X65
R15,74.93,21.59,180.00,8k2,RESC2012X65
R16,74.93,24.38,180.00,1k,RESC2012X65
R17,81.28,24.13,270.00,270,RESC2012X65
R5,77.47,33.02,270.00,100k,RESC2012X65
R8,78.74,26.67,90.00,10k,RESC2012X65
R9,74.93,13.97,180.00,1k,RESC2012X65
VR1,73.66,44.45,270.00,100k,TRIMPOT-SMD-3MM-CLOSED
